x,y,z,signal_strength
-4.9,-1.7,0,-98.015
-4.9,-1.6,0,-104.58
-4.9,-1.5,0,-104.73
-4.9,-1.4,0,-114.88
-4.9,-1.3,0,-93.58
-4.9,-1.2,0,-105.63
-4.9,-1.1,0,-100.94
-4.9,-1,0,-99.492
-4.9,-0.9,0,-102.24
-4.9,-0.8,0,-113.9
-4.9,-0.7,0,-102.83
-4.9,-0.6,0,-101.4
-4.9,-0.5,0,-98.63
-4.9,-0.4,0,-109.11
-4.9,-0.3,0,-101.21
-4.9,-0.2,0,-100.17
-4.9,-0.1,0,-102.2
-4.9,0,0,-108.16
-4.9,0.1,0,-115.46
-4.9,0.2,0,-104.9
-4.9,0.3,0,-108.73
-4.9,0.4,0,-108.24
-4.9,0.5,0,-102.16
-4.9,0.6,0,-114.36
-4.9,0.7,0,-108.29
-4.9,0.8,0,-105.38
-4.9,0.9,0,-101.87
-4.9,1,0,-113.89
-4.9,1.1,0,-103.35
-4.9,1.2,0,-104.31
-4.9,1.3,0,-106.3
-4.9,1.4,0,-112.6
-4.9,1.5,0,-107.7
-4.9,1.6,0,-106.87
-4.9,1.7,0,-109.76
-4.9,1.8,0,-113.66
-4.9,1.9,0,-111.5
-4.9,2,0,-102.34
-4.9,2.1,0,-104.5
-4.9,2.2,0,-109.37
-4.9,2.3,0,-114.54
-4.9,2.4,0,-106.77
-4.9,2.5,0,-103.66
-4.9,2.6,0,-102.45
-4.9,2.7,0,-112.86
-4.9,2.8,0,-110.93
-4.9,2.9,0,-101.73
-4.9,3,0,-106.1
-4.9,3.1,0,-111.83
-4.9,3.2,0,-103
-4.9,3.3,0,-115.93
-4.9,3.4,0,-109.13
-4.9,3.5,0,-109.15
-4.9,3.6,0,-100.49
-4.9,3.7,0,-110.39
-4.9,3.8,0,-106.58
-4.9,3.9,0,-106.98
-4.9,4,0,-113.06
-4.9,4.1,0,-110.19
-4.9,4.2,0,-116.13
-4.9,4.3,0,-112.48
-4.9,4.4,0,-97.802
-4.9,4.5,0,-114.77
-4.9,4.6,0,-116.29
-4.9,4.7,0,-114.14
-4.9,4.8,0,-116.41
-4.9,4.9,0,-110.7
-4.9,5,0,-99.633
-4.8,-5,0,-112.25
-4.8,-4.9,0,-106.57
-4.8,-4.8,0,-99.294
-4.8,-4.7,0,-114.13
-4.8,-4.6,0,-117.6
-4.8,-4.5,0,-115.53
-4.8,-4.4,0,-105.82
-4.8,-4.3,0,-117.28
-4.8,-4.2,0,-105.59
-4.8,-4.1,0,-108.4
-4.8,-4,0,-108.9
-4.8,-3.9,0,-116.57
-4.8,-3.8,0,-108.31
-4.8,-3.7,0,-113.1
-4.8,-3.6,0,-116.5
-4.8,-3.5,0,-111.22
-4.8,-3.4,0,-108.35
-4.8,-3.3,0,-109.28
-4.8,-3.2,0,-101.96
-4.8,-3.1,0,-107.69
-4.8,-3,0,-105.99
-4.8,-2.9,0,-114.6
-4.8,-2.8,0,-98.328
-4.8,-2.7,0,-105.56
-4.8,-2.6,0,-107.17
-4.8,-2.5,0,-111.15
-4.8,-2.4,0,-96.227
-4.8,-2.3,0,-112.12
-4.8,-2.2,0,-100.16
-4.8,-2.1,0,-108.27
-4.8,-2,0,-97.889
-4.8,-1.9,0,-106.4
-4.8,-1.8,0,-110.77
-4.8,-1.7,0,-95.391
-4.8,-1.6,0,-114.49
-4.8,-1.5,0,-114.54
-4.8,-1.4,0,-102.28
-4.8,-1.3,0,-109.59
-4.8,-1.2,0,-91.396
-4.8,-1.1,0,-105.41
-4.8,-1,0,-115.01
-4.8,-0.9,0,-109.58
-4.8,-0.8,0,-114.07
-4.8,-0.7,0,-109.55
-4.8,-0.6,0,-107.33
-4.8,-0.5,0,-112.11
-4.8,-0.4,0,-109.69
-4.8,-0.3,0,-103.74
-4.8,-0.2,0,-110.15
-4.8,-0.1,0,-112.97
-4.8,0,0,-109.33
-4.8,0.1,0,-115.57
-4.8,0.2,0,-93.73
-4.8,0.3,0,-112.55
-4.8,0.4,0,-103.38
-4.8,0.5,0,-94.153
-4.8,0.6,0,-94.869
-4.8,0.7,0,-108.16
-4.8,0.8,0,-112.04
-4.8,0.9,0,-95.773
-4.8,1,0,-99.261
-4.8,1.1,0,-98.42
-4.8,1.2,0,-101.96
-4.8,1.3,0,-108.07
-4.8,1.4,0,-102.85
-4.8,1.5,0,-102.4
-4.8,1.6,0,-105.66
-4.8,1.7,0,-106.3
-4.8,1.8,0,-103.25
-4.8,1.9,0,-97.513
-4.8,2,0,-115.94
-4.8,2.1,0,-97.211
-4.8,2.2,0,-119.18
-4.8,2.3,0,-114.85
-4.8,2.4,0,-108.67
-4.8,2.5,0,-105.93
-4.8,2.6,0,-109.89
-4.8,2.7,0,-104.62
-4.8,2.8,0,-107.72
-4.8,2.9,0,-109.49
-4.8,3,0,-101.62
-4.8,3.1,0,-108.95
-4.8,3.2,0,-119.95
-4.8,3.3,0,-97.695
-4.8,3.4,0,-120.6
-4.8,3.5,0,-103.73
-4.8,3.6,0,-104.18
-4.8,3.7,0,-113.62
-4.8,3.8,0,-118.69
-4.8,3.9,0,-116.22
-4.8,4,0,-104.09
-4.8,4.1,0,-107.62
-4.8,4.2,0,-115.71
-4.8,4.3,0,-120.19
-4.8,4.4,0,-109.34
-4.8,4.5,0,-119.44
-4.8,4.6,0,-111.65
-4.8,4.7,0,-110.55
-4.8,4.8,0,-115.83
-4.8,4.9,0,-110.64
-4.8,5,0,-116.21
-4.7,-5,0,-103.78
-4.7,-4.9,0,-118.09
-4.7,-4.8,0,-119.2
-4.7,-4.7,0,-109.31
-4.7,-4.6,0,-118.29
-4.7,-4.5,0,-113.16
-4.7,-4.4,0,-113.19
-4.7,-4.3,0,-108.96
-4.7,-4.2,0,-116.19
-4.7,-4.1,0,-106.33
-4.7,-4,0,-114.49
-4.7,-3.9,0,-100.27
-4.7,-3.8,0,-109.7
-4.7,-3.7,0,-107.1
-4.7,-3.6,0,-119.61
-4.7,-3.5,0,-106.52
-4.7,-3.4,0,-105.25
-4.7,-3.3,0,-107.58
-4.7,-3.2,0,-115.13
-4.7,-3.1,0,-98.375
-4.7,-3,0,-107.58
-4.7,-2.9,0,-111.58
-4.7,-2.8,0,-101.84
-4.7,-2.7,0,-103.19
-4.7,-2.6,0,-121.65
-4.7,-2.5,0,-103.37
-4.7,-2.4,0,-101.89
-4.7,-2.3,0,-114.5
-4.7,-2.2,0,-104
-4.7,-2.1,0,-115.64
-4.7,-2,0,-99.226
-4.7,-1.9,0,-108.11
-4.7,-1.8,0,-105.87
-4.7,-1.7,0,-100.14
-4.7,-1.6,0,-114.34
-4.7,-1.5,0,-109.17
-4.7,-1.4,0,-106.24
-4.7,-1.3,0,-102.29
-4.7,-1.2,0,-96.18
-4.7,-1.1,0,-95.929
-4.7,-1,0,-104.98
-4.7,-0.9,0,-103.57
-4.7,-0.8,0,-111.56
-4.7,-0.7,0,-109.37
-4.7,-0.6,0,-100.04
-4.7,-0.5,0,-111.33
-4.7,-0.4,0,-112.84
-4.7,-0.3,0,-108
-4.7,-0.2,0,-106.65
-4.7,-0.1,0,-99.574
-4.7,0,0,-114.63
-4.7,0.1,0,-106.37
-4.7,0.2,0,-106.1
-4.7,0.3,0,-108.4
-4.7,0.4,0,-104.85
-4.7,0.5,0,-102.81
-4.7,0.6,0,-107.58
-4.7,0.7,0,-105.36
-4.7,0.8,0,-94.14
-4.7,0.9,0,-103.21
-4.7,1,0,-105.46
-4.7,1.1,0,-109.64
-4.7,1.2,0,-110.91
-4.7,1.3,0,-100.85
-4.7,1.4,0,-98.304
-4.7,1.5,0,-103.53
-4.7,1.6,0,-117.62
-4.7,1.7,0,-111.8
-4.7,1.8,0,-108.78
-4.7,1.9,0,-103.04
-4.7,2,0,-106.56
-4.7,2.1,0,-108.65
-4.7,2.2,0,-113
-4.7,2.3,0,-106.87
-4.7,2.4,0,-96.692
-4.7,2.5,0,-100.35
-4.7,2.6,0,-103.04
-4.7,2.7,0,-114.49
-4.7,2.8,0,-104.59
-4.7,2.9,0,-113.68
-4.7,3,0,-117.43
-4.7,3.1,0,-102.17
-4.7,3.2,0,-108.03
-4.7,3.3,0,-107.49
-4.7,3.4,0,-108.65
-4.7,3.5,0,-103.49
-4.7,3.6,0,-108.81
-4.7,3.7,0,-111.36
-4.7,3.8,0,-104.61
-4.7,3.9,0,-112.27
-4.7,4,0,-108.5
-4.7,4.1,0,-122.88
-4.7,4.2,0,-116.88
-4.7,4.3,0,-113.85
-4.7,4.4,0,-104.65
-4.7,4.5,0,-105.85
-4.7,4.6,0,-105.77
-4.7,4.7,0,-100.47
-4.7,4.8,0,-120.33
-4.7,4.9,0,-126.84
-4.7,5,0,-105.76
-4.6,-5,0,-110.22
-4.6,-4.9,0,-103.71
-4.6,-4.8,0,-116.89
-4.6,-4.7,0,-119.87
-4.6,-4.6,0,-120
-4.6,-4.5,0,-108.11
-4.6,-4.4,0,-123.25
-4.6,-4.3,0,-114.88
-4.6,-4.2,0,-110.18
-4.6,-4.1,0,-86.699
-4.6,-4,0,-103.03
-4.6,-3.9,0,-110.65
-4.6,-3.8,0,-113.53
-4.6,-3.7,0,-114.9
-4.6,-3.6,0,-106.06
-4.6,-3.5,0,-100.88
-4.6,-3.4,0,-107.76
-4.6,-3.3,0,-115.63
-4.6,-3.2,0,-112.69
-4.6,-3.1,0,-116.89
-4.6,-3,0,-107.92
-4.6,-2.9,0,-110.97
-4.6,-2.8,0,-101.03
-4.6,-2.7,0,-110.42
-4.6,-2.6,0,-103.89
-4.6,-2.5,0,-104.62
-4.6,-2.4,0,-110.45
-4.6,-2.3,0,-105.99
-4.6,-2.2,0,-105.05
-4.6,-2.1,0,-105.26
-4.6,-2,0,-112.46
-4.6,-1.9,0,-100.16
-4.6,-1.8,0,-102.53
-4.6,-1.7,0,-106.31
-4.6,-1.6,0,-94.688
-4.6,-1.5,0,-101.89
-4.6,-1.4,0,-105.87
-4.6,-1.3,0,-110.72
-4.6,-1.2,0,-106.85
-4.6,-1.1,0,-105.79
-4.6,-1,0,-92.893
-4.6,-0.9,0,-107.35
-4.6,-0.8,0,-102.67
-4.6,-0.7,0,-103.73
-4.6,-0.6,0,-106.04
-4.6,-0.5,0,-103.66
-4.6,-0.4,0,-112.28
-4.6,-0.3,0,-109.81
-4.6,-0.2,0,-95.299
-4.6,-0.1,0,-106.94
-4.6,0,0,-106.76
-4.6,0.1,0,-96.874
-4.6,0.2,0,-103.48
-4.6,0.3,0,-96.488
-4.6,0.4,0,-97.561
-4.6,0.5,0,-109.13
-4.6,0.6,0,-97.532
-4.6,0.7,0,-119.99
-4.6,0.8,0,-110.09
-4.6,0.9,0,-111.11
-4.6,1,0,-106.78
-4.6,1.1,0,-98.84
-4.6,1.2,0,-98.779
-4.6,1.3,0,-116.29
-4.6,1.4,0,-105.9
-4.6,1.5,0,-107.51
-4.6,1.6,0,-113.12
-4.6,1.7,0,-105.54
-4.6,1.8,0,-103.42
-4.6,1.9,0,-96.641
-4.6,2,0,-95.442
-4.6,2.1,0,-108.42
-4.6,2.2,0,-114.2
-4.6,2.3,0,-108.69
-4.6,2.4,0,-110.89
-4.6,2.5,0,-94.261
-4.6,2.6,0,-116.73
-4.6,2.7,0,-112.02
-4.6,2.8,0,-97.058
-4.6,2.9,0,-111.82
-4.6,3,0,-96.594
-4.6,3.1,0,-105.88
-4.6,3.2,0,-102.18
-4.6,3.3,0,-106.7
-4.6,3.4,0,-108.48
-4.6,3.5,0,-103.36
-4.6,3.6,0,-110.43
-4.6,3.7,0,-105.25
-4.6,3.8,0,-104.21
-4.6,3.9,0,-99.426
-4.6,4,0,-106.26
-4.6,4.1,0,-114.14
-4.6,4.2,0,-105.93
-4.6,4.3,0,-107.58
-4.6,4.4,0,-117.49
-4.6,4.5,0,-108.65
-4.6,4.6,0,-124.16
-4.6,4.7,0,-112.72
-4.6,4.8,0,-110.53
-4.6,4.9,0,-118.75
-4.6,5,0,-105.12
-4.5,-5,0,-106.99
-4.5,-4.9,0,-121.16
-4.5,-4.8,0,-120.35
-4.5,-4.7,0,-114.89
-4.5,-4.6,0,-105.62
-4.5,-4.5,0,-112.91
-4.5,-4.4,0,-114.36
-4.5,-4.3,0,-115
-4.5,-4.2,0,-109.86
-4.5,-4.1,0,-111.13
-4.5,-4,0,-114.03
-4.5,-3.9,0,-104.78
-4.5,-3.8,0,-117.39
-4.5,-3.7,0,-106.86
-4.5,-3.6,0,-110.74
-4.5,-3.5,0,-103.4
-4.5,-3.4,0,-111.03
-4.5,-3.3,0,-112.84
-4.5,-3.2,0,-106.71
-4.5,-3.1,0,-108.42
-4.5,-3,0,-107.23
-4.5,-2.9,0,-108.21
-4.5,-2.8,0,-103.24
-4.5,-2.7,0,-90.109
-4.5,-2.6,0,-99.817
-4.5,-2.5,0,-104.68
-4.5,-2.4,0,-114.11
-4.5,-2.3,0,-113.14
-4.5,-2.2,0,-110.97
-4.5,-2.1,0,-111.39
-4.5,-2,0,-112.25
-4.5,-1.9,0,-104.51
-4.5,-1.8,0,-114.16
-4.5,-1.7,0,-100.11
-4.5,-1.6,0,-110.93
-4.5,-1.5,0,-100.08
-4.5,-1.4,0,-114.92
-4.5,-1.3,0,-102.71
-4.5,-1.2,0,-105.5
-4.5,-1.1,0,-108.85
-4.5,-1,0,-96.854
-4.5,-0.9,0,-111.37
-4.5,-0.8,0,-105.23
-4.5,-0.7,0,-100.04
-4.5,-0.6,0,-106.41
-4.5,-0.5,0,-93.509
-4.5,-0.4,0,-100.53
-4.5,-0.3,0,-106.59
-4.5,-0.2,0,-117.6
-4.5,-0.1,0,-107.44
-4.5,0,0,-101.69
-4.5,0.1,0,-113.98
-4.5,0.2,0,-105.11
-4.5,0.3,0,-110.39
-4.5,0.4,0,-105.04
-4.5,0.5,0,-107.62
-4.5,0.6,0,-108.94
-4.5,0.7,0,-104.57
-4.5,0.8,0,-109.05
-4.5,0.9,0,-104.4
-4.5,1,0,-102.02
-4.5,1.1,0,-105.62
-4.5,1.2,0,-100.44
-4.5,1.3,0,-106.94
-4.5,1.4,0,-97.181
-4.5,1.5,0,-104.23
-4.5,1.6,0,-108.43
-4.5,1.7,0,-106.6
-4.5,1.8,0,-99.817
-4.5,1.9,0,-113.61
-4.5,2,0,-103.98
-4.5,2.1,0,-106.65
-4.5,2.2,0,-91.912
-4.5,2.3,0,-118.82
-4.5,2.4,0,-106.64
-4.5,2.5,0,-107.13
-4.5,2.6,0,-116.1
-4.5,2.7,0,-101.83
-4.5,2.8,0,-95.313
-4.5,2.9,0,-116.06
-4.5,3,0,-103.86
-4.5,3.1,0,-112.87
-4.5,3.2,0,-105.55
-4.5,3.3,0,-99.821
-4.5,3.4,0,-110.66
-4.5,3.5,0,-109.07
-4.5,3.6,0,-107.34
-4.5,3.7,0,-111.33
-4.5,3.8,0,-105.96
-4.5,3.9,0,-104.31
-4.5,4,0,-106.99
-4.5,4.1,0,-111.92
-4.5,4.2,0,-112.89
-4.5,4.3,0,-116.53
-4.5,4.4,0,-107.51
-4.5,4.5,0,-102.44
-4.5,4.6,0,-107.34
-4.5,4.7,0,-122.42
-4.5,4.8,0,-115.98
-4.5,4.9,0,-106.3
-4.5,5,0,-112.99
-4.4,-5,0,-122.98
-4.4,-4.9,0,-112.27
-4.4,-4.8,0,-117.4
-4.4,-4.7,0,-111.24
-4.4,-4.6,0,-115.23
-4.4,-4.5,0,-98.721
-4.4,-4.4,0,-117.11
-4.4,-4.3,0,-105.54
-4.4,-4.2,0,-107.35
-4.4,-4.1,0,-106.97
-4.4,-4,0,-103.66
-4.4,-3.9,0,-110.27
-4.4,-3.8,0,-102.8
-4.4,-3.7,0,-111.75
-4.4,-3.6,0,-104.2
-4.4,-3.5,0,-104.1
-4.4,-3.4,0,-101.23
-4.4,-3.3,0,-99.802
-4.4,-3.2,0,-113.7
-4.4,-3.1,0,-106.41
-4.4,-3,0,-102
-4.4,-2.9,0,-108.88
-4.4,-2.8,0,-112.06
-4.4,-2.7,0,-107.5
-4.4,-2.6,0,-107.33
-4.4,-2.5,0,-92.987
-4.4,-2.4,0,-109.79
-4.4,-2.3,0,-102.04
-4.4,-2.2,0,-104.28
-4.4,-2.1,0,-105.86
-4.4,-2,0,-111.11
-4.4,-1.9,0,-98.795
-4.4,-1.8,0,-107.65
-4.4,-1.7,0,-105.51
-4.4,-1.6,0,-93.329
-4.4,-1.5,0,-99.553
-4.4,-1.4,0,-113.66
-4.4,-1.3,0,-96.475
-4.4,-1.2,0,-102.67
-4.4,-1.1,0,-92.491
-4.4,-1,0,-104.11
-4.4,-0.9,0,-98.264
-4.4,-0.8,0,-109.78
-4.4,-0.7,0,-92.844
-4.4,-0.6,0,-100.31
-4.4,-0.5,0,-106.21
-4.4,-0.4,0,-99.731
-4.4,-0.3,0,-108.18
-4.4,-0.2,0,-102.27
-4.4,-0.1,0,-121.34
-4.4,0,0,-101.59
-4.4,0.1,0,-111.66
-4.4,0.2,0,-112.7
-4.4,0.3,0,-96.806
-4.4,0.4,0,-104.67
-4.4,0.5,0,-103.21
-4.4,0.6,0,-105.22
-4.4,0.7,0,-107.62
-4.4,0.8,0,-102.07
-4.4,0.9,0,-95.995
-4.4,1,0,-105.86
-4.4,1.1,0,-97.308
-4.4,1.2,0,-112.22
-4.4,1.3,0,-96.69
-4.4,1.4,0,-112.34
-4.4,1.5,0,-95.24
-4.4,1.6,0,-109.11
-4.4,1.7,0,-102.01
-4.4,1.8,0,-107.03
-4.4,1.9,0,-100.74
-4.4,2,0,-101.44
-4.4,2.1,0,-104.38
-4.4,2.2,0,-102.57
-4.4,2.3,0,-99.775
-4.4,2.4,0,-114.03
-4.4,2.5,0,-110.65
-4.4,2.6,0,-112.71
-4.4,2.7,0,-104.34
-4.4,2.8,0,-106.2
-4.4,2.9,0,-102.87
-4.4,3,0,-116.48
-4.4,3.1,0,-99.695
-4.4,3.2,0,-110.93
-4.4,3.3,0,-100.16
-4.4,3.4,0,-107.38
-4.4,3.5,0,-110.84
-4.4,3.6,0,-107.73
-4.4,3.7,0,-110.3
-4.4,3.8,0,-114.24
-4.4,3.9,0,-115.58
-4.4,4,0,-114.84
-4.4,4.1,0,-110.93
-4.4,4.2,0,-105.21
-4.4,4.3,0,-108.93
-4.4,4.4,0,-102.79
-4.4,4.5,0,-106.68
-4.4,4.6,0,-121.97
-4.4,4.7,0,-110.02
-4.4,4.8,0,-113.11
-4.4,4.9,0,-114.92
-4.4,5,0,-122.47
-4.3,-5,0,-117.5
-4.3,-4.9,0,-112.25
-4.3,-4.8,0,-109.91
-4.3,-4.7,0,-116
-4.3,-4.6,0,-112.21
-4.3,-4.5,0,-119.8
-4.3,-4.4,0,-108.32
-4.3,-4.3,0,-99.479
-4.3,-4.2,0,-110.38
-4.3,-4.1,0,-110.76
-4.3,-4,0,-99.455
-4.3,-3.9,0,-110.68
-4.3,-3.8,0,-110.4
-4.3,-3.7,0,-103.74
-4.3,-3.6,0,-112.62
-4.3,-3.5,0,-101.92
-4.3,-3.4,0,-116
-4.3,-3.3,0,-108.69
-4.3,-3.2,0,-103.49
-4.3,-3.1,0,-104.32
-4.3,-3,0,-102.56
-4.3,-2.9,0,-105.77
-4.3,-2.8,0,-113.87
-4.3,-2.7,0,-101.91
-4.3,-2.6,0,-103.61
-4.3,-2.5,0,-89.934
-4.3,-2.4,0,-96.554
-4.3,-2.3,0,-110.98
-4.3,-2.2,0,-102.48
-4.3,-2.1,0,-106.57
-4.3,-2,0,-113.6
-4.3,-1.9,0,-105.78
-4.3,-1.8,0,-97.435
-4.3,-1.7,0,-100.77
-4.3,-1.6,0,-110.66
-4.3,-1.5,0,-107.52
-4.3,-1.4,0,-95.94
-4.3,-1.3,0,-96.887
-4.3,-1.2,0,-105.99
-4.3,-1.1,0,-100.78
-4.3,-1,0,-108.04
-4.3,-0.9,0,-112.6
-4.3,-0.8,0,-86.208
-4.3,-0.7,0,-97.138
-4.3,-0.6,0,-112.44
-4.3,-0.5,0,-101.02
-4.3,-0.4,0,-106
-4.3,-0.3,0,-96.03
-4.3,-0.2,0,-101.59
-4.3,-0.1,0,-93.274
-4.3,0,0,-95.475
-4.3,0.1,0,-102.96
-4.3,0.2,0,-107.18
-4.3,0.3,0,-106.57
-4.3,0.4,0,-101.07
-4.3,0.5,0,-109.75
-4.3,0.6,0,-113.2
-4.3,0.7,0,-91.027
-4.3,0.8,0,-115.84
-4.3,0.9,0,-106.29
-4.3,1,0,-109.15
-4.3,1.1,0,-90.511
-4.3,1.2,0,-107.51
-4.3,1.3,0,-104.28
-4.3,1.4,0,-103.38
-4.3,1.5,0,-114.45
-4.3,1.6,0,-93.359
-4.3,1.7,0,-99.323
-4.3,1.8,0,-100.44
-4.3,1.9,0,-101.37
-4.3,2,0,-107.09
-4.3,2.1,0,-105.07
-4.3,2.2,0,-109.16
-4.3,2.3,0,-111.92
-4.3,2.4,0,-111.32
-4.3,2.5,0,-107.7
-4.3,2.6,0,-105.39
-4.3,2.7,0,-103.67
-4.3,2.8,0,-98.941
-4.3,2.9,0,-103.31
-4.3,3,0,-100.45
-4.3,3.1,0,-112.97
-4.3,3.2,0,-99.238
-4.3,3.3,0,-115.52
-4.3,3.4,0,-109.5
-4.3,3.5,0,-110.27
-4.3,3.6,0,-108.82
-4.3,3.7,0,-98.524
-4.3,3.8,0,-98.331
-4.3,3.9,0,-113.2
-4.3,4,0,-107.75
-4.3,4.1,0,-102.13
-4.3,4.2,0,-107.48
-4.3,4.3,0,-112.32
-4.3,4.4,0,-112.14
-4.3,4.5,0,-112.1
-4.3,4.6,0,-106.73
-4.3,4.7,0,-105.94
-4.3,4.8,0,-108.83
-4.3,4.9,0,-114.35
-4.3,5,0,-127.07
-4.2,-5,0,-114.27
-4.2,-4.9,0,-115.59
-4.2,-4.8,0,-101.7
-4.2,-4.7,0,-118.21
-4.2,-4.6,0,-109.11
-4.2,-4.5,0,-111.96
-4.2,-4.4,0,-116.38
-4.2,-4.3,0,-104.24
-4.2,-4.2,0,-118.43
-4.2,-4.1,0,-107.61
-4.2,-4,0,-110.5
-4.2,-3.9,0,-96.263
-4.2,-3.8,0,-105.97
-4.2,-3.7,0,-111.75
-4.2,-3.6,0,-100.24
-4.2,-3.5,0,-101.13
-4.2,-3.4,0,-97.116
-4.2,-3.3,0,-99.785
-4.2,-3.2,0,-103.12
-4.2,-3.1,0,-117.49
-4.2,-3,0,-107.23
-4.2,-2.9,0,-99.205
-4.2,-2.8,0,-100.65
-4.2,-2.7,0,-105.53
-4.2,-2.6,0,-90.01
-4.2,-2.5,0,-96.266
-4.2,-2.4,0,-114.14
-4.2,-2.3,0,-103.1
-4.2,-2.2,0,-108.52
-4.2,-2.1,0,-106.6
-4.2,-2,0,-112.68
-4.2,-1.9,0,-108.48
-4.2,-1.8,0,-102.1
-4.2,-1.7,0,-98.155
-4.2,-1.6,0,-97.092
-4.2,-1.5,0,-107.92
-4.2,-1.4,0,-99.895
-4.2,-1.3,0,-99.705
-4.2,-1.2,0,-92.903
-4.2,-1.1,0,-112.85
-4.2,-1,0,-115.03
-4.2,-0.9,0,-96.121
-4.2,-0.8,0,-97.977
-4.2,-0.7,0,-104.98
-4.2,-0.6,0,-100.67
-4.2,-0.5,0,-92.524
-4.2,-0.4,0,-91.383
-4.2,-0.3,0,-108.71
-4.2,-0.2,0,-102.07
-4.2,-0.1,0,-111.66
-4.2,0,0,-90.384
-4.2,0.1,0,-106.4
-4.2,0.2,0,-92.098
-4.2,0.3,0,-95.057
-4.2,0.4,0,-108.32
-4.2,0.5,0,-98.808
-4.2,0.6,0,-94.179
-4.2,0.7,0,-102.57
-4.2,0.8,0,-113.39
-4.2,0.9,0,-110.34
-4.2,1,0,-115.88
-4.2,1.1,0,-113.18
-4.2,1.2,0,-95.374
